0.6 66 1.5 52
1.2 101 3.5 112
1.5 121 5.1 139
1.7 135 5.5 243
1.9 165 6.5 538
2.5 172 7.3 723
2.7 188 10.5 1069
3.1 191 12 1114
3.2 195 12 1183
3.5 215 23 1244
