txn_name,commits,aborts,maxLatency,minLatency,avgLatency,avgExecLatency,avgCommitLatency,WeaQL Latencies
delivery,47,0,16.7153,1.3716,3.121487234042554,3.065078723404256,0.05640851063829786,9.4
orderstat,27,0,35.5177,1.4207,12.492729629629627,12.464944444444441,0.027785185185185194,5.4
#neworder,0,0,999.0,999.0,999.0,999.0,999.0,0.0
payment,27,0,345.66069999999996,59.1213,162.60676666666663,162.50210000000004,0.10466666666666667,5.4
stock,31,0,7.913899999999999,1.2116999999999998,3.866735483870967,3.8393161290322584,0.02741935483870967,6.2
